[framework] 2016-09-06 19:58:19,912 - io.netty.util.internal.logging.InternalLoggerFactory -0    [main] DEBUG io.netty.util.internal.logging.InternalLoggerFactory  - Using SLF4J as the default logging framework
  [framework] 2016-09-06 19:58:19,917 - io.netty.channel.MultithreadEventLoopGroup -5    [main] DEBUG io.netty.channel.MultithreadEventLoopGroup  - -Dio.netty.eventLoopThreads: 8
  [framework] 2016-09-06 19:58:19,939 - io.netty.util.internal.PlatformDependent0 -27   [main] DEBUG io.netty.util.internal.PlatformDependent0  - java.nio.Buffer.address: available
  [framework] 2016-09-06 19:58:19,939 - io.netty.util.internal.PlatformDependent0 -27   [main] DEBUG io.netty.util.internal.PlatformDependent0  - sun.misc.Unsafe.theUnsafe: available
  [framework] 2016-09-06 19:58:19,939 - io.netty.util.internal.PlatformDependent0 -27   [main] DEBUG io.netty.util.internal.PlatformDependent0  - sun.misc.Unsafe.copyMemory: available
  [framework] 2016-09-06 19:58:19,940 - io.netty.util.internal.PlatformDependent0 -28   [main] DEBUG io.netty.util.internal.PlatformDependent0  - java.nio.Bits.unaligned: true
  [framework] 2016-09-06 19:58:19,940 - io.netty.util.internal.PlatformDependent0 -28   [main] DEBUG io.netty.util.internal.PlatformDependent0  - java.nio.DirectByteBuffer.<init>(long, int): available
  [framework] 2016-09-06 19:58:19,940 - io.netty.util.internal.Cleaner0 -28   [main] DEBUG io.netty.util.internal.Cleaner0  - java.nio.ByteBuffer.cleaner(): available
  [framework] 2016-09-06 19:58:19,940 - io.netty.util.internal.PlatformDependent -28   [main] DEBUG io.netty.util.internal.PlatformDependent  - Platform: Windows
  [framework] 2016-09-06 19:58:19,941 - io.netty.util.internal.PlatformDependent -29   [main] DEBUG io.netty.util.internal.PlatformDependent  - Java version: 8
  [framework] 2016-09-06 19:58:19,941 - io.netty.util.internal.PlatformDependent -29   [main] DEBUG io.netty.util.internal.PlatformDependent  - -Dio.netty.noUnsafe: false
  [framework] 2016-09-06 19:58:19,941 - io.netty.util.internal.PlatformDependent -29   [main] DEBUG io.netty.util.internal.PlatformDependent  - sun.misc.Unsafe: available
  [framework] 2016-09-06 19:58:19,941 - io.netty.util.internal.PlatformDependent -29   [main] DEBUG io.netty.util.internal.PlatformDependent  - -Dio.netty.noJavassist: false
  [framework] 2016-09-06 19:58:20,030 - io.netty.util.internal.PlatformDependent -118  [main] DEBUG io.netty.util.internal.PlatformDependent  - Javassist: available
  [framework] 2016-09-06 19:58:20,031 - io.netty.util.internal.PlatformDependent -119  [main] DEBUG io.netty.util.internal.PlatformDependent  - -Dio.netty.tmpdir: C:\Users\ADMINI~1\AppData\Local\Temp (java.io.tmpdir)
  [framework] 2016-09-06 19:58:20,031 - io.netty.util.internal.PlatformDependent -119  [main] DEBUG io.netty.util.internal.PlatformDependent  - -Dio.netty.bitMode: 32 (sun.arch.data.model)
  [framework] 2016-09-06 19:58:20,031 - io.netty.util.internal.PlatformDependent -119  [main] DEBUG io.netty.util.internal.PlatformDependent  - -Dio.netty.noPreferDirect: false
  [framework] 2016-09-06 19:58:20,031 - io.netty.util.internal.PlatformDependent -119  [main] DEBUG io.netty.util.internal.PlatformDependent  - io.netty.maxDirectMemory: 259522560 bytes
  [framework] 2016-09-06 19:58:20,048 - io.netty.channel.nio.NioEventLoop -136  [main] DEBUG io.netty.channel.nio.NioEventLoop  - -Dio.netty.noKeySetOptimization: false
  [framework] 2016-09-06 19:58:20,048 - io.netty.channel.nio.NioEventLoop -136  [main] DEBUG io.netty.channel.nio.NioEventLoop  - -Dio.netty.selectorAutoRebuildThreshold: 512
  [framework] 2016-09-06 19:58:20,126 - io.netty.channel.DefaultChannelId -214  [main] DEBUG io.netty.channel.DefaultChannelId  - -Dio.netty.processId: 6124 (auto-detected)
  [framework] 2016-09-06 19:58:20,172 - io.netty.util.NetUtil -260  [main] DEBUG io.netty.util.NetUtil  - Loopback interface: lo (Software Loopback Interface 1, 127.0.0.1)
  [framework] 2016-09-06 19:58:20,172 - io.netty.util.NetUtil -260  [main] DEBUG io.netty.util.NetUtil  - \proc\sys\net\core\somaxconn: 200 (non-existent)
  [framework] 2016-09-06 19:58:20,217 - io.netty.channel.DefaultChannelId -305  [main] DEBUG io.netty.channel.DefaultChannelId  - -Dio.netty.machineId: d8:50:e6:ff:fe:4b:b7:57 (auto-detected)
  [framework] 2016-09-06 19:58:20,218 - io.netty.util.internal.ThreadLocalRandom -306  [main] DEBUG io.netty.util.internal.ThreadLocalRandom  - -Dio.netty.initialSeedUniquifier: 0x04aaf53633f72d72
  [framework] 2016-09-06 19:58:20,227 - io.netty.util.ResourceLeakDetector -315  [main] DEBUG io.netty.util.ResourceLeakDetector  - -Dio.netty.leakDetection.level: simple
  [framework] 2016-09-06 19:58:20,227 - io.netty.util.ResourceLeakDetector -315  [main] DEBUG io.netty.util.ResourceLeakDetector  - -Dio.netty.leakDetection.maxRecords: 4
  [framework] 2016-09-06 19:58:20,260 - io.netty.buffer.PooledByteBufAllocator -348  [main] DEBUG io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.numHeapArenas: 2
  [framework] 2016-09-06 19:58:20,260 - io.netty.buffer.PooledByteBufAllocator -348  [main] DEBUG io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.numDirectArenas: 2
  [framework] 2016-09-06 19:58:20,260 - io.netty.buffer.PooledByteBufAllocator -348  [main] DEBUG io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.pageSize: 8192
  [framework] 2016-09-06 19:58:20,260 - io.netty.buffer.PooledByteBufAllocator -348  [main] DEBUG io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.maxOrder: 11
  [framework] 2016-09-06 19:58:20,260 - io.netty.buffer.PooledByteBufAllocator -348  [main] DEBUG io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.chunkSize: 16777216
  [framework] 2016-09-06 19:58:20,260 - io.netty.buffer.PooledByteBufAllocator -348  [main] DEBUG io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.tinyCacheSize: 512
  [framework] 2016-09-06 19:58:20,260 - io.netty.buffer.PooledByteBufAllocator -348  [main] DEBUG io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.smallCacheSize: 256
  [framework] 2016-09-06 19:58:20,260 - io.netty.buffer.PooledByteBufAllocator -348  [main] DEBUG io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.normalCacheSize: 64
  [framework] 2016-09-06 19:58:20,260 - io.netty.buffer.PooledByteBufAllocator -348  [main] DEBUG io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.maxCachedBufferCapacity: 32768
  [framework] 2016-09-06 19:58:20,260 - io.netty.buffer.PooledByteBufAllocator -348  [main] DEBUG io.netty.buffer.PooledByteBufAllocator  - -Dio.netty.allocator.cacheTrimInterval: 8192
  [framework] 2016-09-06 19:58:20,267 - io.netty.buffer.ByteBufUtil -355  [main] DEBUG io.netty.buffer.ByteBufUtil  - -Dio.netty.allocator.type: pooled
